Roman Grapheme,IPA Phoneme,CLLD Concept Set,Unicode Emoji,Egyptian Hieroglyph,Roman Texteme URI,Emoji URI,Egyptian Hieroglyph URI ,CLLD URI,Phone URI,Font PNG URI 
A,a,STAR,⭐,𓇽,http://purl.org/textontology/unicode/char/0041,http://purl.org/textontology/unicode/char/2B50,http://purl.org/textontology/unicode/char/131FD,https://concepticon.clld.org/parameters/1430,https://phoible.org/parameters/72FB536ACFF408163656BBCDAFCAC6F6,http://realcharacterlanguage.world/horapollo/A.png
B,b,HAND,✋,𓂧,http://purl.org/textontology/unicode/char/004A,http://purl.org/textontology/unicode/char/270B,http://purl.org/textontology/unicode/char/130A7,https://concepticon.clld.org/parameters/1277,https://phoible.org/parameters/694212B746622E482E0E58D50036100E,http://realcharacterlanguage.world/horapollo/B.png
C,t̠ʃ,FINGER,👆,𓂷,http://purl.org/textontology/unicode/char/0043,http://purl.org/textontology/unicode/char/1F446,http://purl.org/textontology/unicode/char/130B7,https://concepticon.clld.org/parameters/1303,https://phoible.org/parameters/1348048F53951A5E29ABA6D5360925BA,http://realcharacterlanguage.world/horapollo/C.png
D,d,MOUTH,👄,𓂋,http://purl.org/textontology/unicode/char/0044,http://purl.org/textontology/unicode/char/1F444,http://purl.org/textontology/unicode/char/1308B,https://concepticon.clld.org/parameters/674,https://phoible.org/parameters/E6253384902D489FDB1FE487B7ED4AB2,http://realcharacterlanguage.world/horapollo/D.png
E,e,MOON,🌙,𓇹,http://purl.org/textontology/unicode/char/0045,http://purl.org/textontology/unicode/char/1F319,http://purl.org/textontology/unicode/char/131F9,https://concepticon.clld.org/parameters/1313,https://phoible.org/parameters/199408E3D0668F10F475143F0E8CC0CB,http://realcharacterlanguage.world/horapollo/E.png
F,f,BIRD,🐦,𓅃,http://purl.org/textontology/unicode/char/0046,http://purl.org/textontology/unicode/char/1F426,http://purl.org/textontology/unicode/char/13143,https://concepticon.clld.org/parameters/937,https://phoible.org/parameters/86E80A7DA80F7F58CA76F85BACA48F86,http://realcharacterlanguage.world/horapollo/F.png
G,ɡ,NOSE,👃,𓂉,http://purl.org/textontology/unicode/char/0047,http://purl.org/textontology/unicode/char/1F443,http://purl.org/textontology/unicode/char/13089,https://concepticon.clld.org/parameters/1221,https://phoible.org/parameters/ECC959553F23387998DAF88D69D7736C,http://realcharacterlanguage.world/horapollo/G.png
H,h,BABY,👶,𓀔,http://purl.org/textontology/unicode/char/0048,http://purl.org/textontology/unicode/char/1F476,http://purl.org/textontology/unicode/char/13014,https://concepticon.clld.org/parameters/1289,https://phoible.org/parameters/E7FBD92350B3CA8B7B5D77E36A607068,http://realcharacterlanguage.world/horapollo/H.png
I,i,WATER,🌊,𓈗,http://purl.org/textontology/unicode/char/0049,http://purl.org/textontology/unicode/char/1F30A,http://purl.org/textontology/unicode/char/13217,https://concepticon.clld.org/parameters/948,https://phoible.org/parameters/F0585BB57111C322D6E7DABB0D01F9EA,http://realcharacterlanguage.world/horapollo/I.png
J,j,CLOUD,☁️,𓇯,http://purl.org/textontology/unicode/char/004A,http://purl.org/textontology/unicode/char/2601,http://purl.org/textontology/unicode/char/131EF,https://concepticon.clld.org/parameters/1489,https://phoible.org/parameters/ADF56B8E4119266843033E723A149AE2,http://realcharacterlanguage.world/horapollo/J.png
K,k,EAR,👂,𓂈,http://purl.org/textontology/unicode/char/004B,http://purl.org/textontology/unicode/char/1F442,http://purl.org/textontology/unicode/char/13088,https://concepticon.clld.org/parameters/1247,https://phoible.org/parameters/5A838FF4DABE1950734CFAFAB9383903,http://realcharacterlanguage.world/horapollo/K.png
L,l,LEAF,🍁,𓄔,http://purl.org/textontology/unicode/char/004C,http://purl.org/textontology/unicode/char/1F341,http://purl.org/textontology/unicode/char/13114,https://concepticon.clld.org/parameters/628,https://phoible.org/parameters/03413638BD1DFC7AEF53192FEF71F017,http://realcharacterlanguage.world/horapollo/L.png
M,m,FLOWER,🌼,𓆸,http://purl.org/textontology/unicode/char/004D,http://purl.org/textontology/unicode/char/1F33C,http://purl.org/textontology/unicode/char/131B8,https://concepticon.clld.org/parameters/239,https://phoible.org/parameters/5AE9663626770D1D4B97AAE5769AB83C,http://realcharacterlanguage.world/horapollo/M.png
N,n,EGG,🥚,𓆇,http://purl.org/textontology/unicode/char/004E,http://purl.org/textontology/unicode/char/1F95A,http://purl.org/textontology/unicode/char/13187,https://concepticon.clld.org/parameters/744,https://phoible.org/parameters/E03DA215BAB0A158BA5D1CB5C4D5D6FD,http://realcharacterlanguage.world/horapollo/N.png
O,o,FIRE,🔥,𓊮,http://purl.org/textontology/unicode/char/004F,http://purl.org/textontology/unicode/char/1F525,http://purl.org/textontology/unicode/char/132AE,https://concepticon.clld.org/parameters/221,https://phoible.org/parameters/5AC0158A367D59E8C16A876321E578AB,http://realcharacterlanguage.world/horapollo/O.png
P,p,FOOT,🦶,𓃀,http://purl.org/textontology/unicode/char/0050,http://purl.org/textontology/unicode/char/1F9B6,http://purl.org/textontology/unicode/char/130C0,https://concepticon.clld.org/parameters/1301,https://phoible.org/parameters/2D6FB64B3CDC3549EF11DB98A66A9EAD,http://realcharacterlanguage.world/horapollo/P.png
Q,ŋ,FISH,🐠,𓆛,http://purl.org/textontology/unicode/char/0051,http://purl.org/textontology/unicode/char/1F420,http://purl.org/textontology/unicode/char/1319B,https://concepticon.clld.org/parameters/227,https://phoible.org/parameters/941ED37AAF5E9C4E1B40D85008C6B2D9,http://realcharacterlanguage.world/horapollo/Q.png
R,r,TREE,🌳,𓆭,http://purl.org/textontology/unicode/char/0052,http://purl.org/textontology/unicode/char/1F333,http://purl.org/textontology/unicode/char/131AD,https://concepticon.clld.org/parameters/906,https://phoible.org/parameters/5D1D7FB69E1A3C0C60001FBC0C19ED87,http://realcharacterlanguage.world/horapollo/R.png
S,s,FEATHER,🪶,𓆄,http://purl.org/textontology/unicode/char/0053,http://purl.org/textontology/unicode/char/1FAB6,http://purl.org/textontology/unicode/char/13184,https://concepticon.clld.org/parameters/1201,https://phoible.org/parameters/7FF174469DAC4E61520F4E1610B2F088,http://realcharacterlanguage.world/horapollo/S.png
T,t,TONGUE,👅,𓄓,http://purl.org/textontology/unicode/char/0054,http://purl.org/textontology/unicode/char/1F445,http://purl.org/textontology/unicode/char/13113,https://concepticon.clld.org/parameters/1205,https://phoible.org/parameters/9F90F95459807624A486F03FE5A89978,http://realcharacterlanguage.world/horapollo/T.png
U,u,SUN,☀️,𓇳,http://purl.org/textontology/unicode/char/0055,http://purl.org/textontology/unicode/char/2600,http://purl.org/textontology/unicode/char/131F3,https://concepticon.clld.org/parameters/1343,https://phoible.org/parameters/58EB693AE523323410326D60806B9ADF,http://realcharacterlanguage.world/horapollo/U.png
V,ʃ,PERSON,🧍,"𓁐,𓀀",http://purl.org/textontology/unicode/char/0056,http://purl.org/textontology/unicode/char/1F9CD,http://purl.org/textontology/unicode/char/13050,https://concepticon.clld.org/parameters/683,https://phoible.org/parameters/9E7CDEEE9F0DE43C10181AE483F62CBD,http://realcharacterlanguage.world/horapollo/V.png
W,w,LIGHTNING,⚡,𓇰,http://purl.org/textontology/unicode/char/0057,http://purl.org/textontology/unicode/char/26A1,http://purl.org/textontology/unicode/char/131F0,https://concepticon.clld.org/parameters/1654,https://phoible.org/parameters/501394D0E2658752D9DA624E7DEBE14B,http://realcharacterlanguage.world/horapollo/W.png
X,ʔ,BONE,🦴,𓄯,http://purl.org/textontology/unicode/char/0058,http://purl.org/textontology/unicode/char/1F9B4,http://purl.org/textontology/unicode/char/1312F,https://concepticon.clld.org/parameters/1394,https://phoible.org/parameters/0844E3AEAF1C8E3837465942B92FE4C5,http://realcharacterlanguage.world/horapollo/X.png
Y,ɛ,MOUNTAIN,⛰️,𓈉,http://purl.org/textontology/unicode/char/0059,http://purl.org/textontology/unicode/char/26F0,http://purl.org/textontology/unicode/char/13209,https://concepticon.clld.org/parameters/639,https://phoible.org/parameters/8A61A9B6039DB852CE150BEC6198AFE5,http://realcharacterlanguage.world/horapollo/Y.png
Z,ɲ,EYE,👁️,𓁹,http://purl.org/textontology/unicode/char/005A,http://purl.org/textontology/unicode/char/1F441,http://purl.org/textontology/unicode/char/13079,https://concepticon.clld.org/parameters/1248,https://phoible.org/parameters/1AD6D96C35E6ADA62F1EAF5B167F75F7,http://realcharacterlanguage.world/horapollo/Z.png
